row,col,gray_value
0,0,0.17655896953507966
0,1,0.1778460932712929
0,2,0.17908145680147058
0,3,0.1810552858838848
0,4,0.18187596938189338
0,5,0.18409585391773897
0,6,0.18647957596124387
0,7,0.18726944268918505
0,8,0.18579185336243872
0,9,0.1846901687921262
0,10,0.18672611012178308
0,11,0.19081612381280638
0,12,0.19192983589920343
0,13,0.19305671243106617
0,14,0.1933255064721201
0,15,0.1938916374655331
0,16,0.19513926786534927
0,17,0.19429046032475492
0,18,0.19357012580422794
0,19,0.19122482000612745
0,20,0.18851731244255515
0,21,0.18721295525045956
0,22,0.1862658332375919
0,23,0.18458293839996937
0,24,0.18150287702971812
0,25,0.1783227060355392
0,26,0.17560065774356617
0,27,0.17411319508272058
0,28,0.1734958424287684
0,29,0.1773184383616728
0,30,0.17855487898284314
0,31,0.17837536381740196
0,32,0.179550230736826
0,33,0.18515995998008578
0,34,0.1861907958984375
0,35,0.18759143305759804
0,36,0.18888968673406864
0,37,0.19004193474264705
0,38,0.1912747252221201
0,39,0.19194162406173407
0,40,0.19216200884650736
0,41,0.19226888020833333
0,42,0.1918109370212929
0,43,0.1912924373851103
0,44,0.1912960276884191
0,45,0.19110185211780026
0,46,0.1913598154105392
0,47,0.19214591232000613
0,48,0.19187669941023283
0,49,0.19141564462699143
0,50,0.1919097900390625
0,51,0.19002452177159926
0,52,0.1875012566061581
0,53,0.18806439568014705
0,54,0.186354035022212
0,55,0.18380533854166667
0,56,0.18171602136948528
0,57,0.18137895172717525
0,58,0.1786339853324142
0,59,0.17837297028186275
0,60,0.17885311351102942
0,61,0.17743476418887869
0,62,0.1764029110179228
0,63,0.17521499932981005
1,0,0.12896339566099876
1,1,0.1288165522556679
1,2,0.1287722718481924
1,3,0.1279523064108456
1,4,0.12665596756280637
1,5,0.12553932339537377
1,6,0.12450890634574142
1,7,0.1233938778147978
1,8,0.12332159304151348
1,9,0.12277945724188112
1,10,0.1251214719286152
1,11,0.1254717658547794
1,12,0.12938376034007354
1,13,0.1310977711397059
1,14,0.13264148188572303
1,15,0.13128003887101716
1,16,0.13047987994025737
1,17,0.12730772729013481
1,18,0.12666033576516544
1,19,0.12609599992340687
1,20,0.13006059235217524
1,21,0.12536633061427696
1,22,0.11803247788373161
1,23,0.11144050149356617
